Date,AMZN,BAC,GOOGL,MCD,VZ,Cur Quarter,FSQuarter,year,amzn4Qsum,amznPEratio,amznyeps,bac4Qsum,bacPEratio,bacyeps,googl4Qsum,googlPEratio,googlyeps,mcd4Qsum,mcdPEratio,mcdyeps,vz4Qsum,vzPEratio,vzyeps
2014-12-11,15.368000030517578,17.469999313354492,26.605499267578125,90.97000122070312,46.36000061035156,2014Q4,2014Q3,2014,-0.48,-32.01666673024496,-0.5399999999999999,0.38999999999999996,44.794870034242294,0.35,18.73,1.4204751344142084,20.57,5.1,17.83725514131434,4.83,4.81,9.638253765145857,2.51
2014-12-12,15.366000175476074,17.1299991607666,26.07550048828125,90.62000274658205,45.58000183105469,2014Q4,2014Q3,2014,-0.48,-32.01250036557516,-0.5399999999999999,0.38999999999999996,43.92307477119642,0.35,18.73,1.392178349614589,20.57,5.1,17.768627989525893,4.83,4.81,9.476091856768127,2.51
2014-12-15,15.303500175476074,16.850000381469727,25.79199981689453,88.45999908447266,45.41999816894531,2014Q4,2014Q3,2014,-0.48,-31.88229203224182,-0.5399999999999999,0.38999999999999996,43.205129183255714,0.35,18.73,1.3770421685474923,20.57,5.1,17.345097859700523,4.83,4.81,9.442827062150794,2.51
2014-12-16,14.753000259399414,16.719999313354492,24.90800094604492,88.72000122070312,45.529998779296875,2014Q4,2014Q3,2014,-0.48,-30.735417207082115,-0.5399999999999999,0.38999999999999996,42.87179311116537,0.35,18.73,1.3298452186889973,20.57,5.1,17.396078670726105,4.83,4.81,9.465696211912032,2.51
2014-12-17,14.944000244140623,17.260000228881836,25.322500228881836,91.6500015258789,46.439998626708984,2014Q4,2014Q3,2014,-0.48,-31.133333841959633,-0.5399999999999999,0.38999999999999996,44.256410843286766,0.35,18.73,1.3519754526899004,20.57,5.1,17.970588534486062,4.83,4.81,9.654885369378167,2.51
2014-12-18,14.886500358581545,17.530000686645508,25.731000900268555,93.66999816894533,47.04999923706055,2014Q4,2014Q3,2014,-0.48,-31.01354241371155,-0.5399999999999999,0.38999999999999996,44.94871970934746,0.35,18.73,1.3737854191280594,20.57,5.1,18.36666630763634,4.83,4.81,9.781704623089512,2.51
2014-12-19,14.994999885559082,17.6200008392334,26.00200080871582,93.22000122070312,47.02000045776367,2014Q4,2014Q3,2014,-0.48,-31.239583094914757,-0.5399999999999999,0.38999999999999996,45.17948933136769,0.35,18.73,1.3882541809244966,20.57,5.1,18.278431611902576,4.83,4.81,9.77546787063694,2.51
2014-12-22,15.32699966430664,17.709999084472656,26.614999771118164,93.88999938964844,47.5099983215332,2014Q4,2014Q3,2014,-0.48,-31.931249300638836,-0.5399999999999999,0.38999999999999996,45.410254062750404,0.35,18.73,1.4209823689865544,20.57,5.1,18.40980380189185,4.83,4.81,9.877338528385282,2.51
2014-12-23,15.314499855041504,17.93000030517578,26.938499450683594,94.22000122070312,47.66999816894531,2014Q4,2014Q3,2014,-0.48,-31.905208031336468,-0.5399999999999999,0.38999999999999996,45.974359756860984,0.35,18.73,1.4382541084187717,20.57,5.1,18.474510043275124,4.83,4.81,9.910602529926262,2.51
2014-12-24,15.15149974822998,17.979999542236328,26.846500396728516,93.83000183105467,47.66999816894531,2014Q4,2014Q3,2014,-0.48,-31.565624475479126,-0.5399999999999999,0.38999999999999996,46.1025629288111,0.35,18.73,1.4333422528952757,20.57,5.1,18.398039574716602,4.83,4.81,9.910602529926262,2.51
2014-12-26,15.454500198364258,17.979999542236328,27.076000213623047,94.77999877929688,47.86000061035156,2014Q4,2014Q3,2014,-0.48,-32.19687541325887,-0.5399999999999999,0.38999999999999996,46.1025629288111,0.35,18.73,1.4455953130604937,20.57,5.1,18.584313486136644,4.83,4.81,9.950104076996167,2.51
2014-12-29,15.60200023651123,18.11000061035156,26.86549949645996,95.04000091552734,47.54999923706055,2014Q4,2014Q3,2014,-0.48,-32.5041671593984,-0.5399999999999999,0.38999999999999996,46.435899000901436,0.35,18.73,1.4343566202060845,20.57,5.1,18.635294297162226,4.83,4.81,9.885654727039615,2.51
2014-12-30,15.515000343322754,18.1299991607666,26.763999938964844,94.25,47.33000183105469,2014Q4,2014Q3,2014,-0.48,-32.32291738192241,-0.5399999999999999,0.38999999999999996,46.48717733529898,0.35,18.73,1.4289375301102425,20.57,5.1,18.480392156862745,4.83,4.81,9.839917220593492,2.51
2014-12-31,15.517499923706056,17.889999389648438,26.53300094604492,93.6999969482422,46.779998779296875,2014Q4,2014Q3,2014,-0.48,-32.32812484105428,-0.5399999999999999,0.38999999999999996,45.87179330679087,0.35,18.73,1.4166044285128092,20.57,5.1,18.37254842122396,4.83,4.81,9.725571471787292,2.51
2015-01-02,15.425999641418455,17.899999618530273,26.477500915527344,93.26000213623048,46.959999084472656,2015Q1,2014Q4,2015,-0.5399999999999999,-28.56666600262677,-0.5399999999999999,0.35,51.14285605294364,0.35,20.57,1.2871901271525203,20.57,4.83,19.308489055120184,4.83,2.51,18.709162981861617,2.51
2015-01-05,15.10949993133545,17.3799991607666,25.972999572753903,92.2300033569336,46.56999969482422,2015Q1,2014Q4,2015,-0.5399999999999999,-27.980555428398983,-0.5399999999999999,0.35,49.65714045933315,0.35,20.57,1.2626640531236706,20.57,4.83,19.0952387902554,4.83,2.51,18.553784738973793,2.51
2015-01-06,14.76449966430664,16.860000610351562,25.332000732421875,92.4000015258789,47.040000915527344,2015Q1,2014Q4,2015,-0.5399999999999999,-27.3416660450123,-0.5399999999999999,0.35,48.17143031529018,0.35,20.57,1.231502223258234,20.57,4.83,19.130435098525652,4.83,2.51,18.741036221325636,2.51
2015-01-07,14.92099952697754,16.940000534057617,25.25749969482422,94.01000213623048,46.189998626708984,2015Q1,2014Q4,2015,-0.5399999999999999,-27.631480605513968,-0.5399999999999999,0.35,48.400001525878906,0.35,20.57,1.2278803935257276,20.57,4.83,19.463768558225773,4.83,2.51,18.402389891119117,2.51
2015-01-08,15.02299976348877,17.290000915527344,25.34550094604492,94.36000061035156,47.18000030517578,2015Q1,2014Q4,2015,-0.5399999999999999,-27.820369932386615,-0.5399999999999999,0.35,49.40000261579242,0.35,20.57,1.2321585292194903,20.57,4.83,19.536232010424754,4.83,2.51,18.796812870587964,2.51
2015-01-09,14.846500396728516,16.979999542236328,25.035999298095703,93.20999908447266,46.7599983215332,2015Q1,2014Q4,2015,-0.5399999999999999,-27.493519253200958,-0.5399999999999999,0.35,48.514284406389514,0.35,20.57,1.2171122653425233,20.57,4.83,19.298136456412557,4.83,2.51,18.62948140300128,2.51
2015-01-12,14.570500373840332,16.68000030517578,24.85300064086914,93.01000213623048,47.08000183105469,2015Q1,2014Q4,2015,-0.5399999999999999,-26.982408099704323,-0.5399999999999999,0.35,47.65714372907367,0.35,20.57,1.2082158794783247,20.57,4.83,19.25672922075165,4.83,2.51,18.756972841057646,2.51
2015-01-13,14.737000465393066,16.450000762939453,25.09000015258789,92.83000183105467,47.18000030517578,2015Q1,2014Q4,2015,-0.5399999999999999,-27.290741602579757,-0.5399999999999999,0.35,47.000002179827014,0.35,20.57,1.2197374891875494,20.57,4.83,19.219462076822914,4.83,2.51,18.796812870587964,2.51
2015-01-14,14.66349983215332,16.040000915527344,25.296499252319336,91.54000091552734,46.970001220703125,2015Q1,2014Q4,2015,-0.5399999999999999,-27.15462931880245,-0.5399999999999999,0.35,45.82857404436384,0.35,20.57,1.229776337011149,20.57,4.83,18.952381141931127,4.83,2.51,18.713147896694473,2.51
2015-01-15,14.34749984741211,15.199999809265137,25.20050048828125,91.37999725341795,47.099998474121094,2015Q1,2014Q4,2015,-0.5399999999999999,-26.56944416187428,-0.5399999999999999,0.35,43.42857088361468,0.35,20.57,1.2251094063335561,20.57,4.83,18.919254089734565,4.83,2.51,18.764939631123944,2.51
2015-01-16,14.536999702453612,15.380000114440918,25.52300071716309,91.48999786376952,47.9900016784668,2015Q1,2014Q4,2015,-0.5399999999999999,-26.920369819358545,-0.5399999999999999,0.35,43.942857469831196,0.35,20.57,1.2407875895558138,20.57,4.83,18.9420285432235,4.83,2.51,19.11952258106247,2.51
2015-01-20,14.472000122070312,15.260000228881836,25.496999740600582,90.8000030517578,48.18000030517578,2015Q1,2014Q4,2015,-0.5399999999999999,-26.800000226056138,-0.5399999999999999,0.35,43.60000065394811,0.35,20.57,1.2395235654156822,20.57,4.83,18.799172474484017,4.83,2.51,19.195219245089955,2.51
2015-01-21,14.862500190734863,15.40999984741211,26.019500732421875,90.33999633789062,48.25,2015Q1,2014Q4,2015,-0.5399999999999999,-27.52314850136086,-0.5399999999999999,0.35,44.02857099260603,0.35,20.57,1.2649246831512821,20.57,4.83,18.70393298921131,4.83,2.51,19.22310756972112,2.51
2015-01-22,15.515999794006348,16.09000015258789,26.864999771118164,90.88999938964844,47.79999923706055,2015Q1,2014Q4,2015,-0.5399999999999999,-28.73333295186361,-0.5399999999999999,0.35,45.97142900739398,0.35,20.57,1.3060281852755549,20.57,4.83,18.81780525665599,4.83,2.51,19.04382439723528,2.51
2015-01-23,15.619500160217283,15.729999542236328,27.09749984741211,89.55999755859375,47.150001525878906,2015Q1,2014Q4,2015,-0.5399999999999999,-28.925000296698677,-0.5399999999999999,0.35,44.94285583496094,0.35,20.57,1.3173310572392858,20.57,4.83,18.542442558715063,4.83,2.51,18.78486116568881,2.51
2015-01-26,15.482999801635742,15.850000381469728,26.836000442504883,90.66999816894533,46.959999084472656,2015Q1,2014Q4,2015,-0.5399999999999999,-28.67222185488101,-0.5399999999999999,0.35,45.285715375627795,0.35,20.57,1.3046183977882782,20.57,4.83,18.77225634967812,4.83,2.51,18.709162981861617,2.51
2015-01-27,15.337499618530272,15.630000114440918,26.059499740600582,89.56999969482422,46.349998474121094,2015Q1,2014Q4,2015,-0.5399999999999999,-28.402777071352357,-0.5399999999999999,0.35,44.65714318411691,0.35,20.57,1.2668692144190852,20.57,4.83,18.544513394373546,4.83,2.51,18.46613485024745,2.51
2015-01-28,15.195500373840332,15.199999809265137,25.62150001525879,88.77999877929688,46.04999923706055,2015Q1,2014Q4,2015,-0.5399999999999999,-28.13981550711173,-0.5399999999999999,0.35,43.42857088361468,0.35,20.57,1.2455760824141366,20.57,4.83,18.380952128218816,4.83,2.51,18.346613241856794,2.51
2015-01-29,15.58899974822998,15.43000030517578,25.661500930786133,93.2699966430664,46.11000061035156,2015Q1,2014Q4,2015,-0.5399999999999999,-28.868518052277746,-0.5399999999999999,0.35,44.08571515764509,0.35,20.57,1.2475207064067153,20.57,4.83,19.310558311193873,4.83,2.51,18.37051817145481,2.51
2015-01-30,17.726499557495117,15.149999618530272,26.877500534057617,92.44000244140624,45.709999084472656,2015Q1,2014Q4,2015,-0.5399999999999999,-32.826851032398366,-0.5399999999999999,0.35,43.28571319580078,0.35,20.57,1.3066359034544297,20.57,4.83,19.13871686157479,4.83,2.51,18.21115501373413,2.51
